iter	Passed	Remaining
0	400	1599690
1	610	1219850
2	742	989557
3	895	894770
4	1097	876558
5	1307	870119
6	1557	888455
7	1765	880744
8	1882	834935
9	2059	821632
10	2219	804894
11	2395	796023
12	2553	782991
13	2729	777221
14	2911	773363
15	3044	758115
16	3294	771847
17	3430	758808
18	3611	756805
19	3815	759382
20	4060	769386
21	4218	762780
22	4385	758318
23	4595	761344
24	4824	767165
25	5082	776891
26	5186	763240
27	5332	756504
28	5542	758912
29	5693	753395
30	5948	761651
31	6208	769847
32	6416	771370
33	6550	764090
34	6670	755659
35	6874	756977
36	7068	757116
37	7260	757034
38	7408	752456
39	7585	750938
40	7744	747845
41	8038	757539
42	8301	763901
43	8558	769528
44	8772	770970
45	8915	766343
46	9095	764960
47	9280	764133
48	9431	760521
49	9590	757672
50	9792	758261
51	9965	756608
52	10089	751375
53	10213	746342
54	10424	747724
55	10682	752363
56	10880	752661
57	11039	750303
58	11201	748245
59	11374	746929
60	11639	751619
61	11834	751712
62	12006	750306
63	12212	751069
64	12405	751005
65	12628	752756
66	12822	752710
67	13033	753629
68	13196	751797
69	13379	751169
70	13599	752594
71	13779	751767
72	14028	754676
73	14235	755269
74	14460	756774
75	14772	762723
76	14952	761822
77	15140	761306
78	15373	763027
79	15531	761053
80	15803	764627
81	15991	764088
82	16126	761069
83	16376	763469
84	16540	761850
85	16671	758764
86	16818	756447
87	16976	754666
88	17181	755033
89	17353	753914
90	17612	756542
91	17816	756826
92	18008	756552
93	18231	757583
94	18370	755112
95	18526	753403
96	18676	751486
97	18883	751882
98	19033	749984
99	19199	748763
100	19384	748335
101	19564	747676
102	19743	746998
103	19865	744180
104	20060	744146
105	20353	747709
106	20542	747390
107	20771	748541
108	20923	746916
109	21118	746822
110	21320	746978
111	21517	746975
112	21748	748094
113	21974	749073
114	22174	749099
115	22393	749808
116	22587	749638
117	22739	748104
118	22904	746984
119	23143	748299
120	23313	747380
121	23465	745898
122	23607	744108
123	23747	742302
124	23913	741309
125	24055	739614
126	24261	739877
127	24513	741537
128	24697	741113
129	24872	740428
130	25056	740036
131	25215	738889
132	25447	739887
133	25595	738450
134	25745	737082
135	25900	735887
136	26043	734350
137	26178	732607
138	26354	732042
139	26618	733909
140	26813	733850
141	27014	733955
142	27199	733635
143	27389	733439
144	27616	734211
145	27777	733243
146	28005	734054
147	28217	734425
148	28456	735473
149	28598	734037
150	28781	733654
151	29011	734450
152	29155	733078
153	29311	732024
154	29495	731678
155	29713	732177
156	29916	732287
157	30163	733479
158	30291	731770
159	30458	731007
160	30637	730544
161	30844	730755
162	31025	730337
163	31245	730837
164	31439	730727
165	31645	730901
166	31870	731487
167	32003	729984
168	32166	729175
169	32432	730687
170	32609	730192
171	32810	730222
172	33014	730315
173	33195	729929
174	33481	731812
175	33670	731574
176	33863	731409
177	34011	730286
178	34184	729718
179	34366	729334
180	34581	729653
181	34720	728364
182	34861	727140
183	35070	727328
184	35270	727332
185	35502	727987
186	35734	728633
187	35897	727884
188	36023	726381
189	36190	725723
190	36297	723869
191	36526	724443
192	36689	723717
193	36833	722625
194	37014	722249
195	37210	722180
196	37375	721510
197	37547	720982
198	37727	720608
199	37950	721055
200	38128	720655
201	38305	720220
202	38464	719455
203	38707	720259
204	38885	719853
205	39082	719796
206	39305	720222
207	39483	719811
208	39684	719824
209	39879	719728
210	40038	718980
211	40218	718626
212	40360	717587
213	40570	717751
214	40680	716159
215	40829	715267
216	41025	715212
217	41228	715255
218	41373	714300
219	41539	713721
220	41676	712655
221	41874	712625
222	42056	712315
223	42234	711945
224	42380	711044
225	42556	710650
226	42663	709112
227	42887	709521
228	43094	709641
229	43320	710080
230	43554	710638
231	43690	709596
232	43947	710508
233	44158	710679
234	44302	709777
235	44503	709789
236	44666	709195
237	44903	709774
238	45087	709522
239	45256	709025
240	45477	709333
241	45688	709487
242	45872	709227
243	46087	709451
244	46348	710355
245	46490	709446
246	46656	708909
247	46811	708208
248	46979	707717
249	47130	706962
250	47265	705972
251	47458	705853
252	47635	705498
253	47834	705463
254	48029	705368
255	48249	705655
256	48401	704931
257	48558	704283
258	48708	703547
259	48933	703882
260	49114	703603
261	49284	703149
262	49416	702167
263	49612	702097
264	49804	701963
265	49963	701372
266	50167	701405
267	50325	700802
268	50483	700201
269	50670	700000
270	50798	699001
271	50978	698698
272	51104	697681
273	51315	697810
274	51491	697477
275	51643	696810
276	51823	696534
277	51989	696054
278	52156	695612
279	52375	695839
280	52533	695275
281	52688	694670
282	52854	694207
283	52999	693466
284	53138	692660
285	53368	693048
286	53542	692691
287	53697	692097
288	53877	691828
289	54057	691567
290	54232	691225
291	54361	690310
292	54506	689605
293	54693	689437
294	54951	690149
295	55115	689688
296	55255	688920
297	55395	688162
298	55569	687831
299	55682	686748
300	55877	686678
301	56086	686779
302	56255	686386
303	56452	686342
304	56658	686399
305	56805	685745
306	56976	685392
307	57200	685662
308	57310	684574
309	57478	684181
310	57677	684159
311	57827	683556
312	57948	682602
313	58085	681851
314	58278	681769
315	58405	680902
316	58561	680384
317	58851	681414
318	59015	680987
319	59273	681641
320	59481	681716
321	59646	681309
322	59926	682198
323	60093	681805
324	60278	681610
325	60517	682029
326	60742	682284
327	60884	681606
328	61128	682069
329	61315	681900
330	61500	681704
331	61661	681246
332	61851	681105
333	62072	681313
334	62283	681404
335	62456	681072
336	62600	680435
337	62758	679940
338	62915	679451
339	63125	679529
340	63312	679357
341	63458	678750
342	63656	678693
343	63850	678598
344	64028	678333
345	64218	678196
346	64386	677821
347	64629	678236
348	64731	677178
349	64969	677536
350	65148	677286
351	65298	676733
352	65433	676022
353	65573	675374
354	65784	675454
355	65950	675063
356	66115	674670
357	66294	674429
358	66477	674220
359	66687	674289
360	66963	675014
361	67170	675041
362	67327	674569
363	67532	674587
364	67735	674576
365	67922	674403
366	68070	673844
367	68241	673514
368	68521	674259
369	68667	673679
370	68844	673412
371	69043	673358
372	69179	672695
373	69338	672248
374	69485	671694
375	69660	671408
376	69919	671932
377	70047	671192
378	70224	670934
379	70405	670701
380	70623	670828
381	70764	670221
382	70987	670397
383	71185	670326
384	71385	670281
385	71602	670394
386	71751	669863
387	71962	669918
388	72190	670126
389	72341	669622
390	72496	669153
391	72619	668392
392	72831	668459
393	73070	668757
394	73222	668266
395	73369	667736
396	73518	667219
397	73687	666889
398	73916	667100
399	74183	667655
400	74305	666892
401	74515	666933
402	74690	666652
403	74898	666666
404	75074	666398
405	75298	666555
406	75534	666817
407	75695	666413
408	75968	666996
409	76143	666720
410	76343	666655
411	76605	667140
412	76823	667229
413	76995	666918
414	77215	667029
415	77379	666653
416	77583	666625
417	77788	666603
418	77942	666139
419	78152	666155
420	78375	666283
421	78527	665812
422	78732	665782
423	78891	665371
424	79059	665029
425	79220	664634
426	79511	665329
427	79672	664928
428	79883	664950
429	80052	664620
430	80328	665178
431	80539	665199
432	80690	664720
433	80830	664150
434	81011	663922
435	81137	663244
436	81369	663427
437	81508	662858
438	81669	662469
439	81922	662828
440	82190	663300
441	82376	663113
442	82553	662848
443	82730	662585
444	82885	662155
445	83010	661481
446	83163	661029
447	83326	660661
448	83659	661639
449	83873	661671
450	84080	661645
451	84358	662178
452	84585	662302
453	84839	662643
454	85022	662430
455	85199	662166
456	85434	662349
457	85658	662452
458	85845	662260
459	86052	662233
460	86267	662254
461	86447	662012
462	86736	662610
463	87012	663092
464	87232	663155
465	87389	662734
466	87569	662490
467	87716	661996
468	87902	661801
469	88076	661509
470	88317	661727
471	88551	661887
472	88725	661593
473	88927	661514
474	89141	661525
475	89372	661658
476	89614	661868
477	89827	661865
478	90025	661753
479	90267	661961
480	90429	661581
481	90662	661724
482	90956	662305
483	91197	662501
484	91437	662688
485	91669	662811
486	91842	662508
487	91997	662081
488	92186	661894
489	92449	662238
490	92640	662070
491	92804	661704
492	92987	661472
493	93143	661054
494	93388	661265
495	93545	660852
496	93744	660735
497	93898	660304
498	94118	660336
499	94414	660901
500	94596	660662
501	94774	660401
502	94963	660210
503	95111	659743
504	95307	659604
505	95486	659347
506	95746	659648
507	95960	659635
508	96097	659089
509	96346	659310
510	96547	659204
511	96760	659178
512	96963	659087
513	97121	658685
514	97294	658389
515	97463	658064
516	97676	658037
517	97917	658203
518	98176	658481
519	98410	658596
520	98587	658323
521	98803	658309
522	98953	657863
523	99141	657664
524	99348	657594
525	99590	657754
526	99750	657370
527	99952	657262
528	100125	656970
529	100304	656708
530	100536	656801
531	100706	656488
532	100902	656340
533	101081	656085
534	101266	655867
535	101491	655908
536	101775	656330
537	101942	655992
538	102126	655772
539	102286	655391
540	102401	654724
541	102536	654192
542	102680	653715
543	102795	653052
544	102947	652631
545	103194	652810
546	103375	652571
547	103534	652190
548	103697	651840
549	103887	651659
550	104082	651509
551	104343	651767
552	104513	651461
553	104798	651870
554	105059	652129
555	105273	652088
556	105555	652473
557	105734	652221
558	105986	652411
559	106166	652167
560	106351	651950
561	106534	651720
562	106738	651616
563	106906	651295
564	107177	651603
565	107398	651603
566	107659	651843
567	107917	652067
568	108079	651708
569	108343	651961
570	108565	651964
571	108730	651621
572	108888	651243
573	109092	651135
574	109347	651329
575	109555	651246
576	109718	650896
577	109897	650641
578	110074	650368
579	110235	650006
580	110414	649756
581	110599	649535
582	110851	649710
583	111139	650090
584	111388	650243
585	111593	650136
586	111802	650053
587	112041	650144
588	112306	650385
589	112504	650237
590	112717	650176
591	112891	649890
592	113045	649486
593	113243	649340
594	113515	649615
595	113727	649544
596	113895	649224
597	114140	649339
598	114328	649132
599	114548	649106
600	114752	648992
601	114991	649069
602	115194	648949
603	115372	648686
604	115573	648546
605	115843	648799
606	116082	648873
607	116360	649167
608	116576	649117
609	116848	649370
610	117199	650065
611	117521	650590
612	117748	650595
613	117875	650045
614	118104	650056
615	118342	650113
616	118578	650162
617	118764	649938
618	118960	649766
619	119217	649928
620	119479	650112
621	119704	650097
622	119916	650015
623	120062	649566
624	120281	649518
625	120435	649118
626	120707	649357
627	120927	649310
628	121164	649354
629	121375	649260
630	121633	649419
631	121912	649685
632	122099	649461
633	122260	649097
634	122443	648855
635	122626	648609
636	122825	648447
637	123001	648167
638	123218	648101
639	123366	647671
640	123535	647357
641	123707	647054
642	123885	646784
643	124046	646428
644	124182	645939
645	124470	646246
646	124664	646057
647	124847	645814
648	125019	645519
649	125229	645412
650	125458	645408
651	125711	645523
652	125988	645762
653	126266	646007
654	126491	645977
655	126684	645783
656	126915	645781
657	127124	645669
658	127360	645694
659	127523	645348
660	127721	645177
661	128013	645479
662	128214	645329
663	128480	645498
664	128669	645281
665	128898	645265
666	129127	645250
667	129286	644884
668	129477	644676
669	129713	644697
670	129993	644931
671	130202	644813
672	130418	644730
673	130639	644671
674	130870	644659
675	131115	644715
676	131273	644347
677	131439	644017
678	131618	643746
679	131805	643522
680	132025	643455
681	132296	643634
682	132528	643625
683	132718	643411
684	132838	642862
685	133050	642754
686	133270	642684
687	133500	642664
688	133658	642295
689	133983	642733
690	134139	642356
691	134344	642211
692	134590	642267
693	134831	642297
694	135061	642268
695	135235	641982
696	135480	642025
697	135670	641809
698	135872	641650
699	136072	641482
700	136268	641296
701	136472	641149
702	136704	641128
703	136859	640751
704	137045	640515
705	137243	640338
706	137428	640100
707	137628	639933
708	137786	639570
709	137975	639352
710	138345	639970
711	138565	639890
712	138767	639731
713	138940	639439
714	139206	639570
715	139448	639592
716	139733	639810
717	140042	640140
718	140195	639751
719	140348	639364
720	140574	639312
721	140806	639284
722	141037	639251
723	141262	639192
724	141444	638939
725	141730	639153
726	141959	639110
727	142209	639163
728	142472	639269
729	142754	639462
730	142948	639260
731	143242	639504
732	143467	639440
733	143642	639150
734	143836	638948
735	144101	639056
736	144353	639112
737	144565	638987
738	144765	638807
739	144954	638584
740	145231	638745
741	145514	638932
742	145799	639122
743	145954	638747
744	146146	638533
745	146315	638217
746	146510	638016
747	146675	637683
748	146874	637500
749	147146	637634
750	147326	637369
751	147604	637524
752	147861	637592
753	148132	637715
754	148366	637682
755	148565	637494
756	148805	637484
757	149007	637312
758	149175	636992
759	149385	636852
760	149694	637136
761	149899	636973
762	150197	637205
763	150423	637133
764	150661	637109
765	150874	636981
766	151062	636748
767	151304	636741
768	151551	636753
769	151775	636668
770	152036	636739
771	152193	636375
772	152371	636098
773	152663	636293
774	152919	636343
775	153061	635914
776	153198	635467
777	153386	635232
778	153540	634857
779	153820	635004
780	154025	634839
781	154355	635188
782	154671	635475
783	154819	635076
784	155064	635071
785	155341	635198
786	155528	634958
787	155643	634423
788	155876	634370
789	156044	634055
790	156288	634046
791	156443	633675
792	156691	633682
793	156888	633482
794	157188	633695
795	157511	634005
796	157743	633941
797	157991	633946
798	158267	634059
799	158555	634221
800	158724	633906
801	159078	634330
802	159364	634480
803	159666	634693
804	159870	634517
805	160160	634681
806	160413	634695
807	160705	634865
808	160890	634610
809	161100	634459
810	161325	634362
811	161509	634102
812	161724	633968
813	162018	634141
814	162283	634199
815	162556	634291
816	162710	633911
817	162953	633883
818	163121	633563
819	163382	633603
820	163675	633768
821	163857	633502
822	164130	633586
823	164362	633513
824	164615	633521
825	164785	633206
826	165070	633334
827	165302	633258
828	165623	633525
829	165843	633403
830	166089	633377
831	166293	633194
832	166548	633204
833	166827	633302
834	167091	633346
835	167376	633467
836	167566	633230
837	167787	633106
838	168035	633088
839	168327	633231
840	168557	633141
841	168851	633292
842	169114	633326
843	169421	633525
844	169678	633531
845	169912	633456
846	170186	633528
847	170534	633873
848	170694	633519
849	170927	633437
850	171118	633199
851	171285	632871
852	171446	632522
853	171630	632259
854	171838	632084
855	172055	631943
856	172216	631596
857	172385	631276
858	172668	631377
859	172796	630906
860	173024	630804
861	173229	630619
862	173450	630491
863	173646	630274
864	173949	630440
865	174232	630535
866	174460	630432
867	174766	630610
868	175005	630542
869	175206	630342
870	175474	630377
871	175822	630702
872	176041	630564
873	176298	630557
874	176547	630526
875	176797	630495
876	177022	630378
877	177273	630350
878	177504	630252
879	177754	630221
880	177994	630152
881	178259	630172
882	178423	629838
883	178642	629696
884	178873	629594
885	179096	629465
886	179379	629546
887	179552	629244
888	179805	629219
889	180053	629175
890	180246	628940
891	180510	628953
892	180749	628879
893	180989	628806
894	181251	628809
895	181575	629029
896	181751	628735
897	182006	628713
898	182264	628700
899	182521	628684
900	182837	628872
901	183070	628771
902	183258	628516
903	183466	628333
904	183696	628221
905	183929	628120
906	184155	627996
907	184488	628237
908	184735	628180
909	184947	628007
910	185219	628037
911	185478	628023
912	185726	627971
913	186021	628078
914	186253	627969
915	186551	628084
916	186835	628149
917	187083	628094
918	187285	627885
919	187475	627635
920	187702	627509
921	188000	627619
922	188274	627649
923	188576	627771
924	188884	627912
925	189197	628071
926	189489	628155
927	189768	628197
928	190041	628219
929	190277	628121
930	190484	627923
931	190743	627899
932	190937	627658
933	191179	627577
934	191465	627639
935	191726	627618
936	191888	627273
937	192154	627266
938	192435	627311
939	192688	627263
940	192908	627105
941	193278	627435
942	193591	627581
943	193878	627641
944	194267	628028
945	194534	628021
946	194804	628023
947	195084	628058
948	195360	628075
949	195642	628114
950	195916	628128
951	196171	628077
952	196492	628240
953	196758	628225
954	197068	628350
955	197376	628465
956	197650	628476
957	197969	628625
958	198251	628658
959	198532	628685
960	198820	628736
961	199160	628950
962	199476	629087
963	199806	629264
964	200082	629275
965	200390	629385
966	200640	629308
967	201012	629616
968	201255	629520
969	201506	629449
970	201787	629469
971	202021	629341
972	202231	629140
973	202448	628961
974	202745	629032
975	203023	629040
976	203240	628859
977	203469	628715
978	203690	628549
979	203948	628494
980	204223	628490
981	204475	628417
982	204760	628446
983	205038	628451
984	205301	628410
985	205540	628295
986	205751	628095
987	206001	628013
988	206211	627809
989	206468	627748
990	206683	627559
991	206908	627399
992	207090	627110
993	207312	626942
994	207524	626745
995	207772	626655
996	208040	626624
997	208277	626500
998	208546	626473
999	208841	626525
1000	209089	626431
1001	209290	626200
1002	209532	626091
1003	209734	625861
1004	210007	625844
1005	210219	625641
1006	210393	625331
1007	210626	625191
1008	210847	625019
1009	211136	625046
