type,scope,name,parent,min,max,multiplier,notes
variant,,LX 7 SEATER,Ashok Leyland | Stile,,,1.0,,
variant,,2.0 TDI SLINE,Audi | A3,,,1.04,,
variant,,35 TDI Technology,Audi | A3,,,1.07,,
variant,,35 TFSI PREMIUM PLUS,Audi | A3,,,1.04,,
variant,,1.8 TFSI,Audi | A4,,,1.0,,
variant,,2.0 TDI,Audi | A4,,,1.0,,
variant,,2.0 TDI Multitronic,Audi | A4,,,1.0,,
variant,,2.0 TDI S LINE,Audi | A4,,,1.04,,
variant,,2.0 TFSI,Audi | A4,,,1.0,,
variant,,30 TFSI PREMIUM PLUS,Audi | A4,,,1.04,,
variant,,35 TDI Technology,Audi | A4,,,1.07,,
variant,,35 TFSI S LINE PREMIUM PLUS,Audi | A4,,,1.04,,
variant,,2.0 TDI,Audi | A6,,,1.0,,
variant,,2.0 TDI PREMIUM,Audi | A6,,,1.0,,
variant,,2.0 TDI PREMIUM PLUS,Audi | A6,,,1.04,,
variant,,2.7 TDI,Audi | A6,,,1.0,,
variant,,35 TDI S LINE,Audi | A6,,,1.04,,
variant,,35TDI MATRIX,Audi | A6,,,1.04,,
variant,,2.0 QUATTRO TDI AT,Audi | Q3,,,1.0,,
variant,,2.0 TDI QUATTRO,Audi | Q3,,,1.0,,
variant,,30 TDI MT S EDITION,Audi | Q3,,,1.0,,
variant,,30 TDI PREMIUM PLUS,Audi | Q3,,,1.04,,
variant,,30 TFSI Premium,Audi | Q3,,,1.0,,
variant,,35 TDI Quattro,Audi | Q3,,,1.0,,
variant,,35TDI PREMIUM PLUS,Audi | Q3,,,1.04,,
variant,,2.0 TDI QUATTRO,Audi | Q5,,,1.0,,
variant,,2.0 TFSI QUATTRO,Audi | Q5,,,1.0,,
variant,,3.0 TDI QUATTRO,Audi | Q5,,,1.0,,
variant,,35 TDI PREMIUM PLUS,Audi | Q5,,,1.04,,
variant,,35 TDI S LINE QUATTRO,Audi | Q7,,,1.04,,
variant,,4.2 TDI QUATTRO,Audi | Q7,,,1.0,,
variant,,45 TDI PREMIUM,Audi | Q7,,,1.0,,
variant,,45 TDI QUATTRO PREMIUM PLUS,Audi | Q7,,,1.04,,
variant,,118D HATCHBACK,BMW | 1 Series,,,1.0,,
variant,,220i M SPORT,BMW | 2 SERIES GRAN COUPE,,,1.07,,
variant,,320D LUXURY LINE,BMW | 3 SERIES GRAN LIMOUSINE,,,1.04,,
variant,,330Li M Sport,BMW | 3 SERIES GRAN LIMOUSINE,,,1.07,,
variant,,320D GT LUXURY LINE,BMW | 3 Series,,,1.04,,
variant,,320D GT SPORT LINE,BMW | 3 Series,,,1.04,,
variant,,320D LUXURYLINE,BMW | 3 Series,,,1.0,,
variant,,320D M SPORT,BMW | 3 Series,,,1.07,,
variant,,320d,BMW | 3 Series,,,1.0,,
variant,,320d Luxury Line,BMW | 3 Series,,,1.04,,
variant,,320d Prestige,BMW | 3 Series,,,1.04,,
variant,,320d Sport Line,BMW | 3 Series,,,1.04,,
variant,,330I M SPORT,BMW | 3 Series,,,1.07,,
variant,,GT 320d Luxury Line,BMW | 3 Series,,,1.04,,
variant,,520 D HIGHLINE,BMW | 5 Series,,,1.04,,
variant,,520D,BMW | 5 Series,,,1.0,,
variant,,520D 2.0,BMW | 5 Series,,,1.0,,
variant,,520D LUXURY LINE,BMW | 5 Series,,,1.04,,
variant,,520I LUXURY LINE,BMW | 5 Series,,,1.04,,
variant,,525D,BMW | 5 Series,,,1.0,,
variant,,530 i sports line,BMW | 5 Series,,,1.0,,
variant,,530D 3.0,BMW | 5 Series,,,1.0,,
variant,,530D M SPORT,BMW | 5 Series,,,1.07,,
variant,,530d M Sport,BMW | 5 Series,,,1.07,,
variant,,630I GT LUXURYLINE,BMW | 6 Series,,,1.0,,
variant,,730Ld,BMW | 7 Series,,,1.0,,
variant,,740Li DPE Signature,BMW | 7 Series,,,1.04,,
variant,,740i M Sport,BMW | 7 Series,,,1.07,,
variant,,xDrive,BMW | M340i,,,1.0,,
variant,,SDRIVE 20D,BMW | X1,,,1.0,,
variant,,SDRIVE 20D X LINE,BMW | X1,,,1.07,,
variant,,SDRIVE 20i SPORTX,BMW | X1,,,1.0,,
variant,,sDrive 20d Expedition,BMW | X1,,,1.0,,
variant,,sDrive 20d x Line,BMW | X1,,,1.07,,
variant,,sDrive20d,BMW | X1,,,1.0,,
variant,,xDrive20d xLine,BMW | X1,,,1.0,,
variant,,X DRIVE 20D Luxury Line,BMW | X3,,,1.04,,
variant,,X DRIVE 20D X-Line,BMW | X3,,,1.07,,
variant,,XDRIVE 20D M SPORT,BMW | X3,,,1.07,,
variant,,xDRIVE 30i LUXURY LINE,BMW | X3,,,1.04,,
variant,,xDrive 20d,BMW | X3,,,1.0,,
variant,,XDRIVE 30 D,BMW | X5,,,1.0,,
variant,,XDRIVE30D DESIGN PURE 5 STR,BMW | X5,,,1.0,,
variant,,XDRIVE30D DESIGN PURE 7 STR,BMW | X5,,,1.0,,
variant,,XDRIVE 30D DPE SIGNATURE,BMW | X7,,,1.04,,
variant,,ROADSTAR SDRIVE 35I,BMW | Z4,,,1.0,,
variant,,EXTENDED RANGE,BYD | ATTO 3,,,1.0,,
variant,,FEEL 1.2,CITROEN | C3,,,1.0,,
variant,,MAX 1.2 7 STR,CITROEN | C3 AIRCROSS,,,1.0,,
variant,,FEEL,CITROEN | C5 AIRCROSS,,,1.0,,
variant,,SHINE DUAL TONE,CITROEN | C5 AIRCROSS,,,1.0,,
variant,,FEEL,CITROEN | E C3,,,1.0,,
variant,,LT 1.4,Chevrolet | Aveo,,,1.0,,
variant,,1.2,Chevrolet | Aveo U VA,,,1.0,,
variant,,LS 1.2,Chevrolet | Aveo U VA,,,1.0,,
variant,,LS DIESEL,Chevrolet | Beat,,,1.0,,
variant,,LS PETROL,Chevrolet | Beat,,,1.0,,
variant,,LS Petrol,Chevrolet | Beat,,,1.0,,
variant,,LT DIESEL,Chevrolet | Beat,,,1.0,,
variant,,LT PETROL,Chevrolet | Beat,,,1.0,,
variant,,LT Petrol,Chevrolet | Beat,,,1.0,,
variant,,PS DIESEL,Chevrolet | Beat,,,1.0,,
variant,,PS PETROL,Chevrolet | Beat,,,1.0,,
variant,,LTZ AWD AT,Chevrolet | Captiva,,,1.0,,
variant,,LT,Chevrolet | Cruze,,,1.0,,
variant,,LTZ,Chevrolet | Cruze,,,1.0,,
variant,,LTZ AT,Chevrolet | Cruze,,,1.0,,
variant,,1.3 LS 8 STR,Chevrolet | Enjoy,,,1.0,,
variant,,1.4 LS 8 STR,Chevrolet | Enjoy,,,1.0,,
variant,,1.2 LS,Chevrolet | Sail,,,1.0,,
variant,,1.2 LS ABS,Chevrolet | Sail,,,1.0,,
variant,,1.2 LT ABS,Chevrolet | Sail,,,1.0,,
variant,,1.3 BASE,Chevrolet | Sail,,,0.94,,
variant,,1.3 LS,Chevrolet | Sail,,,1.0,,
variant,,1.2 BASE,Chevrolet | Sail UVA,,,0.94,,
variant,,E 1.0,Chevrolet | Spark,,,1.0,,
variant,,LS 1.0,Chevrolet | Spark,,,1.0,,
variant,,LS 1.0 LPG,Chevrolet | Spark,,,1.0,,
