iter	RMSE
0	0.5865027259
1	0.5728367665
2	0.5597465326
3	0.5470247302
4	0.5348856752
5	0.5228505512
6	0.5114016535
7	0.5003306981
8	0.4895468141
9	0.4791878268
10	0.4693205312
11	0.4595391834
12	0.4502035089
13	0.4412925548
14	0.4325155208
15	0.4241041148
16	0.415978201
17	0.4080785952
18	0.4006066702
19	0.3928709692
20	0.3858366897
21	0.3790696135
22	0.3726096515
23	0.366011991
24	0.3600235452
25	0.3540352597
26	0.3482066742
27	0.3426324412
28	0.3372575925
29	0.3322588558
30	0.3272920296
31	0.3224235132
32	0.3178472402
33	0.3131650506
34	0.308828185
35	0.3047391815
36	0.3005425711
37	0.2965183935
38	0.2928984781
39	0.2891391657
40	0.2854491534
41	0.2819097484
42	0.278333809
43	0.2751328997
44	0.2723207328
45	0.2692885468
46	0.2665799546
47	0.2638759999
48	0.2613299513
49	0.2589183109
50	0.2563890936
51	0.2539782925
52	0.2517812793
53	0.2497238128
54	0.247534812
55	0.2454371925
56	0.2435355015
57	0.2415800787
58	0.2397135603
59	0.2375544269
60	0.2355573851
61	0.2336046931
62	0.2317535739
63	0.2299803488
64	0.2283754219
65	0.2267754848
66	0.2252277666
67	0.2237852499
68	0.2223987723
69	0.2210353044
70	0.219727452
71	0.2184678152
72	0.2172198738
73	0.2160620401
74	0.2148954012
75	0.2137967917
76	0.212661891
77	0.2116126356
78	0.2106403694
79	0.2096898471
80	0.2087167314
81	0.2078856263
82	0.2069966615
83	0.2062009831
84	0.2054276918
85	0.2046903394
86	0.2039063112
87	0.2031653284
88	0.2025120828
89	0.2018553196
90	0.2012322952
91	0.2005634788
92	0.1998601197
93	0.1992896503
94	0.1984207572
95	0.197838013
96	0.1972678439
97	0.1966886635
98	0.1961745537
99	0.1957042245
100	0.1952068901
101	0.194748965
102	0.1942343001
103	0.1937736386
104	0.193347947
105	0.1929465634
106	0.1925460119
107	0.1921446626
108	0.1914575005
109	0.191056835
110	0.1907354264
111	0.1903775616
112	0.189834747
113	0.1892949104
114	0.1889499049
115	0.1886592906
116	0.1883563123
117	0.1879619438
118	0.1876647778
119	0.1872286646
120	0.1868282691
121	0.1864067831
122	0.1858467481
123	0.1855138497
124	0.185252451
125	0.1849767244
126	0.1846985134
127	0.1843793465
128	0.1839804272
129	0.1836662405
130	0.1834407376
131	0.1831920602
132	0.1828509611
133	0.182610676
134	0.1823779375
135	0.1821007152
136	0.1818914352
137	0.1816781441
138	0.1814699093
139	0.1811574374
140	0.1807154307
141	0.180360928
142	0.1800471518
143	0.1798345931
144	0.1795477238
145	0.1792408228
146	0.1790924198
147	0.178913642
148	0.1787092603
149	0.178561335
150	0.1783045421
151	0.1781293513
152	0.1779921312
153	0.1775850263
154	0.1773792248
155	0.1771293977
156	0.1768641928
157	0.1766457827
158	0.1764782762
159	0.1763385235
160	0.1761701995
161	0.1759105463
162	0.1756872295
163	0.1754314226
164	0.1752869299
165	0.1750801857
166	0.1749555091
167	0.1748075904
168	0.174566618
169	0.1744726449
170	0.1743204979
171	0.1740102369
172	0.1738847968
173	0.1736282791
174	0.1734493673
175	0.1733329634
176	0.1730959048
177	0.1729790589
178	0.1727165034
179	0.1725351542
180	0.1723750473
181	0.1722430479
182	0.1721300254
183	0.1718140123
184	0.1716291882
185	0.1714875288
186	0.1713065443
187	0.1710195955
188	0.1708568091
189	0.1707155257
190	0.1706205203
191	0.1703910416
192	0.1702326191
193	0.1699460944
194	0.1698703623
195	0.169757798
196	0.1696249763
197	0.1694951862
198	0.1693373631
199	0.1692171278
200	0.1690313754
201	0.1688489829
202	0.1686724679
203	0.1685627317
204	0.1683828988
205	0.1682735489
206	0.1681246489
207	0.1680028842
208	0.1678561983
209	0.1676650438
210	0.1674260973
211	0.1673572231
212	0.167251692
213	0.1671829871
214	0.1669182417
215	0.1668219224
216	0.1667377872
217	0.1666005069
218	0.1663936999
219	0.1661791145
220	0.1659923757
221	0.1658561395
222	0.1657848385
223	0.1656958351
224	0.1655361505
225	0.1654783305
226	0.1654003844
227	0.1653405136
228	0.1651650522
229	0.1650541915
230	0.164895651
231	0.1647906845
232	0.1645882001
233	0.1645021469
234	0.1643043683
235	0.1642173615
236	0.1640779975
237	0.1639325287
238	0.163849397
239	0.1637891397
240	0.1636857736
241	0.1636393492
242	0.1635278594
243	0.1634844974
244	0.1633589292
245	0.1632466829
246	0.1630925506
247	0.1628870686
248	0.1626999961
249	0.1625586068
250	0.1624119451
251	0.1623324508
252	0.1622401242
253	0.1621273476
254	0.1620830717
255	0.1620022082
256	0.161856895
257	0.1617907209
258	0.1617416814
259	0.1616904366
260	0.1615238203
261	0.1614002568
262	0.1612464831
263	0.1611184553
264	0.1609992355
265	0.1608899723
266	0.1608161059
267	0.1607360142
268	0.1606450968
269	0.1605680589
270	0.1605113914
271	0.1604555913
272	0.1603122464
273	0.1602576417
274	0.1601332741
275	0.1600527366
276	0.1599540589
277	0.1598468909
278	0.1597702601
279	0.1596030202
280	0.1595070862
281	0.1594333999
282	0.1593324231
283	0.1592643924
284	0.1591998794
285	0.1591031327
286	0.1590096524
287	0.1589753524
288	0.1589090468
289	0.1588318016
290	0.1587873159
291	0.1586670415
292	0.1585365093
293	0.1584054268
294	0.1583393419
295	0.1582311222
296	0.1581574257
297	0.1580897754
298	0.1579620645
299	0.1578802074
300	0.1578470568
301	0.1578068998
302	0.1577664937
303	0.1577159435
304	0.1576461343
305	0.1574771178
306	0.157428312
307	0.1573361455
308	0.157266188
309	0.1572027135
310	0.1571418465
311	0.1570770905
312	0.1570301869
313	0.1569856398
314	0.1569324244
315	0.1568871649
316	0.1567900341
317	0.156765152
318	0.1567062826
319	0.156595524
320	0.1565479532
321	0.1564912642
322	0.1564148885
323	0.1563387985
324	0.156271361
325	0.1561596336
326	0.1560917235
327	0.1560439404
328	0.1559697794
329	0.1559432749
330	0.1558760098
331	0.155755287
332	0.155706305
333	0.155667094
334	0.1556005662
335	0.1555317585
336	0.1554409003
337	0.1553435051
338	0.1552539512
339	0.1551571653
340	0.1550930632
341	0.1549904362
342	0.1549578483
343	0.1549011915
344	0.1548527482
345	0.1547956234
346	0.1546633153
347	0.1546264882
348	0.1545647183
349	0.1545176949
350	0.1544532219
351	0.1543566334
352	0.1543459765
353	0.1542680795
354	0.1542016519
355	0.1541463614
356	0.1541096048
357	0.1540574182
358	0.1539952452
359	0.1539426633
360	0.1538695447
361	0.1538160299
362	0.1537497879
363	0.1537179204
364	0.1536725992
365	0.1536148269
366	0.1535212957
367	0.1534707929
368	0.1534263883
369	0.1533707758
370	0.153329217
371	0.1532839013
372	0.1532097538
373	0.1531475778
374	0.15305962
375	0.152994928
376	0.1529380628
377	0.1528807825
378	0.1527861365
379	0.1527486306
380	0.1527335994
381	0.1526717889
382	0.1525955456
383	0.1525244833
384	0.1524795522
385	0.152433477
386	0.1523997644
387	0.152302514
388	0.1522442826
389	0.1522117107
390	0.1521698772
391	0.1521287403
392	0.1520429211
393	0.1520047791
394	0.1519141701
395	0.1518568132
396	0.1517910427
397	0.1517400935
398	0.1516758822
399	0.1516434283
400	0.1516077452
401	0.1515314594
402	0.1514517371
403	0.151394972
404	0.1513605615
405	0.151303415
